source	target
KING OF CARNIVAL	किंग ऑफ कार्निवल
DULAL	दुलाल
SANSAR SAGAR	संसार सागर
GRAHAM STEVENSON	ग्रैहम स्टीवंसन
RAJU KULKARNI	राजू कुलकर्णी
KAASH	काश
GEHRA DAAG	गहरा दाग
BHALKI	भालकी
AAJ KI AURAT	आज की औरत
CHANDAN KA PALNA	चंदन का पालना
PRINZREGENT LUITPOLD	प्रिंजरेजेंट ल्यूपोल्ड
THEODORE ROOSEVELT	थियोडोर रूजवेल्ट
MONTSHIRE MUSEUM OF SCIENCE	मॉन्टशायर म्युज़ियम ऑफ साइन्स
TAQIYAH	तैकियाह
BHUPALSAGAR	भूपलसागर
NANETTE	ननेटे
BANSARI	बंसरी
FORT WENTWORTH	फोर्ट वेंटवर्थ
PRITA	प्रीता
AAJ	आज
SHAGUFA	शगुफा
BANSURI	बांसुरी
SUMMER	समर
ATRI	अत्रि
YUVRAJ SINGH	युवराज सिंह
JNANPITH AWARD	ज्ञानपीठ अवार्ड
VIDHAN	विधान
SARGENT	सारर्जेंट
CAMBRIDGE ANTIBODY TECHNOLOGY GROUP	कैंब्रिज एंटीबॉडी टेक्नोलॉजी ग्रुप
AJIT	अजित
MAYBANK	मेबैंक
KANWAL	कंवल
DHADIAL	ढडियाल
YAQUB	य़ाकुब
ABANUR	अबनूर
YASIR ARAFAT	यासिर अराफत
SCHOCK PRIZE IN LOGIC AND PHILOSOPHY	श्कॉक प्राइज़ इन लॉजिक एण्ड फिलोसफी
ROSHANEE	रोशनी
Shelby	शेल्बाय
TANWEER	तनवीर
BORDI	बोरदी
THORNTON	थोरंटन
ATHMAH	अतमाह
IBTIHAL	इब्तिहल
CENTEX	सेंटेक्स
SANS PAREIL	सैन्स पैरेल
DIERDRA	डिएर्ड्रा
GAURA	गौरा
GAJRE	गजरे
ROLTA	रोल्टा
MAHAAN	महान
ASRANADA	अस्रांदा
GARMA GARAM	गरमा गरम
MONARCH	मॉनार्क
CAROLENA	कैरोलिना
GLENYS	ग्लेनिस
VAYASYAA	वयस्या
AVENT	एवेंट
BHOPATKAR	भोपटकर
NATIONAL JEWISH BOOK AWARD	नेशनल ज्युश बुक अवार्ड
DRAKE	ड्रैक
JIGNESH	जिग्नेश
KAVIRAJ	कविराज
ANDRA	एण्ड्रा
HIRVE	हिरवे
AZRA	अज़्रा
BEAS	ब्यास
BRAXTON	ब्रेक्सटन
GIRIJAA	गिरिजा
WAYNE JAMES	वेन जेम्स
UNICOI CHRISTIAN	यूनीकोई क्रिश्चियन
INDRAVISHNU	इंद्रविष्णु
PUDHARI	पुढ़ारी
CHINA FINANCE ONLINE	चाइना फ़ाइनेंस ऑनलाइन
PRADOSH	प्रदोश
KELAVARAPALLI RESERVOIR	केलावरापल्ली रिज़रवायर
KARKHANIS	कारखानीस
SOMNATH JYOTIRLINGA	सोमनाथ ज्योतिर्लिंग
SHAILA	शैला
DEHRI ON SONE	देहरी ऑन सोने
MISS BOMBAY	मिस बॉम्बे
FALLON	फैलन
OAMRA	ओआमरा
ROD MARSH	रॉड मार्श
BARMER	बारमेर
UNIVERSITY OF TECHNOLOGY	यूनिवर्सिटी ऑफ टेक्नोलॉजी
DHUDWAL	धुदवाल
CHAKRA	चक्र
GUTHRIE	गुथरी
FATTAH	फतह
SANTA MARIA	सांता मारिया
MUNICIPAL GALLERY OF RHODES	म्युन‍िस‍िपल गैलरी ऑफ रोड्स
CHITTASWARUP	चित्तस्वरूप
Vasanti	वसंती
Bilkha	बिल्खा
MURTAAD	मुर्ताद
VIPLAV	विप्लव
AMREEK	अमरीक
BEDEKAR	बेडेकर
SOUTH CHINA	साउथ चायना
ANNAVARAM	अन्नावरम
BAMNIA	बमनिया
GRAMMY LIFETIME ACHIEVEMENT AWARD	ग्रैमी लाइफटाइम अचीवमेंट अवार्ड
ARPITA	अर्पिता
MUJHE KASAM HAI	मुझे कसम है
BHAI JAAN	भाई जान
WAYLAND	वेलैंड
ART SUNJE MUSEUM	आर्ट संज म्युज़ियम
RAAKESH	राकेश
Punarnava	पुनर्नवा
OMRAO	ओमराव
BADREEPRASAAD	बद्रीप्रसाद
MUNAF PATEL	मुनाफ पटेल
KARM YOGI	कर्म योगी
VOLKSWAGEN	वॉल्क्सवेज़न
SWEDEN	स्वीडन
ROLAND	रोलैंड
RALLIS INDIA	रैलिस इंडिया
SUBROS	सुब्रोस
MOTI MAHAL	मोती महल
ANITEJA	अनितेज
BETAAB	बेताब
BOHRIUM	बोरियम
KRISTINE	क्रिस्टीन
BHULON	भुलों
IVVAVIK	इवाविक
MARTIN LUTHER	मार्टिन लुथर
MUKUR	मुकुर
VAJHE	वझे
CITIGROUP	सिटीग्रुप
SAUTELA BHAI	सौतेला बेटा
HOWRAH BRIDGE	हावड़ा ब्रिज
Clarendon	क्लेरेंडन
NABENDU	नबेंदु
CLIVE	क्लाइव
SCHLESIEN	स्लेसेन
PREMIO QUEVEDOS FOR GRAPHICAL HUMOR	प्रेमियो क्युवेडोस फॉर ग्रैफिकल ह्युमर
BHIMAVARAM TOWN	भीमावरम टाउन
CHIRAI	चिरई
KLEIST PRIZE	क्लेस्ट प्राइज़
MEDAL OF SUVOROV	मेडल ऑफ सुवोरोव
GULAM	गुलाम
AVARI	एवरी
LOCHAN	लोचन
DUGGIRALA	दुगिराला
Chandrashekhar	चंद्रशेखर
FAKHRUNNISA	फखरुन्निसा
GORDY	गॉर्डी
SUNDRAM	सुंदरम
TAWANDA MUPARIWA	टवांडा मुपारीवा
SONAR KILA	सोनार किला
ABDUR RASHID	अब्दुर रशीद
GREGG	ग्रेग
TURCO-PERSIAN WAR	टर्को-पर्शियन वार
Parthapratim	पार्थप्रतिम
AMIRAL	अमीरल
PARAM DHARAM	परम धरम
BHUTTI	भुट्टी
DABUR INDIA	डाबर इंडिया
JIBRAN	जिब्रान
HINDVEE	हिंदवी
RAAMATEKE	रामटेके
Rodd	रॉड
AAJ KE SHAHANSHAH	आज के शहँशाह
Iola	इओला
OPTIMAL GROUP	ऑप्टीमल ग्रुप
MADRAS CEMENTS	मद्रास सीमेंट्स
CELESTE	सेलेस्टी
ROOPAKUMAAR	रूपकुमार
JOHN RENNIE	जॉन रेनी
KESAREE	केसरी
RASHID KHAN	रशीद खान
DHAVLE	ढवले
AZRAQ	अज़राक
HAVELLS INDIA	हॉवेल्स इंडिया
LINAEVE	लिनाएव
STEVEN HAWKING	स्टीवन हॉकिंग
GAANU	गानू
JAWANI KI KAHANI	जवानी की कहानी
ANGELO	एंजेलो
NAIRANA	नैराना
GOLD	गोल्ड
KIANA	कियाना
FORT CANNING	फोर्ट कैनिंग
BOMBAY TOWN	बॉम्बे टाउन
IDUKI	इडुकी
LANDMARK UNITED METHODIST	लैंडमार्क यूनाइटेड मेथोडिस्ट
PRAGATI	प्रगति
DEEP SEA DIVING	डीप सी डाइविंग
VAJRAMANI	वज्रमणि
ROBERT DOWNING JUNIOR	रॉबर्ट डाउनिंग ज्युनियर
Hannah	हन्नाह
MUSEUM OF ARCHEOLOGY AND ETHNOLOGY	म्युज़ियम ऑफ आर्कोलॉजी एण्ड एथनोलॉजी
Gurleen	गुरलीन
RANGEEN KAHANI	रंगीन कहानी
REDDYS LABS	रेड्डी लैब्स
OMAR KHAYYAM	ओमर खय्यम
AMANDEEP	अमनदीप
ABHA	आभा
APPLEBEE	एपलबी
CHHOTA GUDHA	छोटा गुधा
RATNAPARKHI	रत्नपारखी
SIBSON	सिब्सन
DEMETER	डिमीटर
KEERTHI RANASINGHE	किर्ति राणासिंघे
PURNANAD	पूर्णनाद
GAUTAM	गौतम
CORINE	कोरिन
UNA	यूना
RANAVEER	रणवीर
DARRIUS	डैरियस
LAKE DISTRICT	लेक डिस्ट्रीक्ट
KUNDANIKA	कुन्दनिका
NISHAN	निशान
BANGUI	बैंगई
Habib	हबीब
NIZAMBAD	निजामबाद
EK KUNWARI EK KUNWARA	एक कुँवारी एक कुँवारा
ASHAPURNA DEVI	आशापूर्णा देवी
BAANKEBIHARI	बांकेबिहारी
GHUSUN	ग़ुसन
ASHLEY NOFFKE	एशले नॉफकी
ALAURA	एलौरा
VIVEKAANAND	विवेकानंद
ORDER OF WILLIAM	ऑडर ऑफ़ विलियम
SHERGILL	शेरगिल
ALBA	अल्बा
SARAYU	सरयू
Parayush	परयुश
ORIENTAL HOTELS	ओरिएंटल होटल्स
DAURALA	दौराला
ADITYA	अदित्या
AMETHI	अमेठी
BIRAMBAD	बिरामबाद
Gurmura	गुरमुरा
CHARLOTTE	कार्लोट
VERONIQUE	वेरोनिक
DOBBELAAR	डोबेलार
SWIMMING	स्विमिंग
WALKER	वॉकर
DUNIYA GOL HAI	दुनिया गोल है
VIKRAM SOLANKI	विक्रम सोलंकी
GINNY	जीनी
Ulla	यूला
CHEUNG KONG CENTRE	चेयूंग काँग सेन्टर
CARDIGAN	कार्डिगन
GURJAS	गुरजस
SUMITA	सुमिता
OZZY	ओज़्ज़ी
AAHUTI	आहुती
DHULGHAT	धुलघाट
LOUISE	लुइस
EYAB	एयब
BHATNI JUNCTION	भटनी जंक्शन
RUCHIRA	रुचिरा
TERE BINA KYA JEENA	तेरे बिना क्या जीना
MAHASATI TULSI	महासती तुलसी
EDINBURGH	एडिनबर्ग
PYAR KA KARZ	प्यार का कर्ज़
TIRUPPARAMKUNRAM	तिरुप्पराम्कुंरम
GHUTAI	घुटाई
ISHQ PER JOR NAHIN	इश्क़ पर ज़ोर नहीं
RUBIDIUM	रूबीडियम
DHARMANAND	धर्मानन्द
KASAUTI	कसौटी
UNIVERSITY OF STRATHCLYDE	यूनिवर्सिटी ऑफ स्ट्रैथक्लाइड
SA'OOD	सऊद
DABILPUR	दाबिलपुर
SHELLING	शैलिंग
KOLBE	कोल्बे
FAKIHAH	फकीहाह
SUNFLAG IRON	सनफ़्लैग आयरन
DVIJAVAHAN	द्विजवाहन
SHABARI	शबरी
ORDER OF THE GOLDEN EAGLE	ऑडर ऑफ द गोल्डन ईगल
FORT ASHBY	फोर्ट ऐशबाय
DHEENA	धीना
FIRST CANADIAN PLACE	फर्स्ट कैनेडियन प्लेस
NILESH KULKARNI	निलेश कुलकर्णी
HAFNIUM	हॉफ्नियम
ZAKHMI ZAMEEN	ज़ख्मी ज़मीन
PRACHETAS	प्रचेतस
BANDUGAR	बंडूगर
GIRILAL	गिरिलाल
SHERDIL	शेरदिल
FENELLA	फेनेला
CARNIG	कार्निग
Islamabad	इस्लामाबाद
CHANDR	चंद्र
WESTSIDE	वेस्टसाइड
KIRLOSKAR FERRO	किर्लोस्कर फ़ेरो
WATUMOHAI	वाटुमोहाई
DEVEN_DR	देवेन्द्र
BADARPUR JUNCTION	बदरपुर जंक्शन
GUNTAKAL	गुणटकल
KINTAN	किंतन
DAULATABAD FORT	दौलताबाद फोर्ट
DILHARA FERNANDO	दिलहारा फर्नेंडो
HARRIS	हैरीस
AMBIKAA	अंबिका
BELLEROPHON	बेलरोफोन
ZAGIRI	ज़ागीरी
BISHAN	बिशन
AVATAAR	अवतार
JOGINDER SHARMA	जोगिंदर शर्मा
CHANDRAMAA	चंद्रमा
KAMAKSHI AMMAN	कामाक्षी अम्मान
NAAM O NISHAAN	नाम ओ निशान
ORACLE	ओरेकल
LAKSHMI	लक्ष्मी
ANISUR RAHMAN	अनीसुर रहमान
MADHURIMA	मधुरिमा
Basimah	बसिमाह
TRYNA	ट्रायना
JENOLEN	जेनोलेन
SUVARCHALAA	सुवर्चला
MASUMAH	मासूम
CHENNAI PETRO	चेन्नई पेट्रो
Kabir	कबीर
BHEEMA	भीमा
WAHEED	वहीद
USTAD	उस्ताद
ORDER OF THE THREE STARS	ऑडर ऑफ़ द थ्री स्टार्स
POTDAR	पोतदार
KARUNASHANKAR	करुणाशंकर
SHILLING	शिलिंग
THURNWALD	थुर्नवाल्ड
JALAPUT	जालापुत
VORPOMMERN	वोर्पोमेर्न
JACK NICHOLSON	जेक निकोलसन
EASTER	ईस्टर
NADALEEN	नडालीन
KAVI SAMMELAN	कवि सम्मेलन
SADOOF	सदूफ
DEVANGANA	देवांगना
HAWWA	हव्वा
VAIR	वैर
FORT LAFAYETTE	फोर्ट लैफायेट्‍ट
PRETVAM	प्रीतवम
BARAIGRAM JUNCTION	बराइग्राम जंक्शन
DHANWAN	धनवान
Nellur	नैल्लोर
SHAGIRD	शागिर्द
CHEEMA	चीमा
QUTB	क़ुत्ब
SINDHU	सिंधु
ROCKY MOUNTAIN HOUSE	रॉकी माउंटेन हाउस
UDITI	उदिति
ANOUSH	एनोश
PROFESSIONAL WRESTLING	प्रोफेश्नल रेस्लिंग
PHANINDRA	फणिंद्र
DEVNATH	देवनाथ
NEWDIGATE PRIZE	न्यूडिगेट प्राइज़
HAYAH	हयाह
ANKOLA	अंकोला
GUDUR JUNCTION	गुदुर जंक्शन
AJAY JADEJA	अजय जडेजा
SHYAAMAKANTH	श्यामकंठ
ZORION	ज़ोरियन
ABDUL MUHAYAMEEN	अब्दुल मुहायमीन
VAARUNI	वारुणि
KAHANI HUM SAB KI	कहानी हम सब की
ACHALESHWAR	अचलेश्वर
ACHALESHVAR	अचलेश्वर
INDRANUJ	इंद्रानुज
CHEMIN DE FER FORT	केमिन डे फर फोर्ट
SOCRATES SCULPTURE PARK	सॉक्रेट्स स्कल्पचर पार्क
Samrat	सम्राट
GOUDY	गॉडी
SAINTGOBAIN	सेंटगॉबैन
KHUSHABOO	खुशबू
HAWELIANA	हवेलियाना
DHOON	धुन
Ettifaq	इत्तिफ़ाक़
NASHIT	नाशित
NADEE	नदी
LUCIL BALL	ल्युसिल बॉल
AMAANAT	अमानत
MUDRA COMMUNICATIONS	मुद्रा कम्युनिकेशन्स
TANDILAT	तंदीलत
TWYLA	ट्वायला
MAKENNA	मकेन्ना
SWEEKAR KIYA MAINE	स्वीकार किया मैंने
PENCILINA	पेंसिलिना
BURGESS	बर्गेस
SOFIA	सोफ़िया
BHAGWATI	भगवती
ONEX	ऑनेक्स
VARICK	वैरिक
ABDUL HASEEB	अब्दुल हसीब
CHANDAN	चंदन
MADHUMITA	मधुमिता
SUPERB	सुपर्ब
AGNI PREM	अग्नि प्रेम
KOTHE	कोठे
CHELSIA	चेल्सिया
PANCHMAHAL	पंचमहल
JAWAHARLAL NEHRU	जवाहरलाल नेहरू
KEITH FLETCHER	कैथ फ्लेचर
DILLAN	डिलैन
DILLON	डिलन
SANDOVAL	सैंडोवल
JYOTISH	ज्योतिष
CHER	चेर
MAJOR LEAGUE LACROSSE SPORTSMAN OF THE YEAR AWARD	मेजर लीग लैक्रोस स्पोर्ट्‍समैन ऑफ द ईयर अवार्ड
UDAYSAH	उदैसाह
LUDWIG	लुडविग
TEHRAN	तेहरान
HUMAAM	हमाम
JANE ANJANE	जाने अनजाने
SHIV CHARAN	शिव चरण
DHARMADAS	धर्मदास
Shatayu	शतायु
Kon-tiki	कॉन-टिकी
HIMAX TECHNOLOGIES	हीमैक्स टेक्नोलॉजीज़
PHATAK	फाटक
RAMEEZ RAJA	रमीज़ राजा
NATIONAL FOLK MUSEUM	नेशनल फोक म्युज़ियम
DEEPAK FERT	दीपक फ़र्ट
RONADOR	रोनाडर
PREM GEET	प्रेम गीत
PRAJAVANI	प्रजावाणि
AB INSAF HOGA	अब इंसाफ होगा
COYLE	कॉयल
Ball	बॉल
Vishraant	विश्रांत
RIYAL	रियाल
Turley	टर्ली
VEGA	वेगा
GAVOTTE	गैवोट
BAAGHI	बागी
SHAHAR KA JADU	शहर का जादू
BINIOU	बिनिउ
RASHEED	रशीद
SHRIGEETA	श्रीगीता
ABHIJAT	आभिजात
PRITHVIRAJ	पृथ्वीराज
PARIVAR	परिवार
BRITANNIA	ब्रिटानिया
SINGH	सिंघ
SACHCHIT	सच्चित
BHONGIR	भोंगीर
LAYAK	लायक
MAYSA	मेसा
WEST COAST SWING	वेस्ट कोस्ट स्विंग
SULTAN	सुल्तान
PRAGUN	प्रगुन
ARCHERY	आर्करी
NARAYANI	नारायणी
OSAKA	ओसाका
Bhatinda	भटिंडा
BAUDHDH	बौद्ध
KAUN JEETA KAUN HAARA	कौन जीता कौन हारा
SYLVIA	सिल्विया
Longonot	लाँगोनॉट
URSHITA	उर्शिता
COLIGNY	कोलिग्नी
SUDEEP	सुदीप
VISHAYA	विषया
JAHAN ARA	जहाँ आरा
MURADABAD	मुरादाबाद
BADEL	बडेल
HAWALAT	हवालात
WASIFAH	वज़ीफाह
NOMA PRIZE FOR LITERATURE	नोमा प्राइज़ फॉर लिट्रेचर
STEWART	स्टीवर्ट
HERIOT	हेरोइट
WOODWARD	वुडवर्ड
BERT VANCE	बर्ट वैंस
SUDIPTI	सुदीप्ति
EK MISAAL	एक मिसाल
HOGGARD	हॉगर्ड
ATREYI	अत्रेयी
FAN LAU FORT	फन लॉ फोर्ट
TURKISH-TRANSYLVANIAN WAR	टर्किश-ट्रांसिल्वेनियन वार
GRACIE	ग्रेसी
DAVID BERNARD	डेविड बरनार्ड
HUNTERWALI	हंटरवाली
MADHYAMAM	मध्यामम
NAAG MOHINI	नाग मोहिनी
IRON CROSS	आइरन क्रॉस
ABRASH	अबराश
JAI JAGANNATH	जय जगन्नाथ
JYOTIBA PHULE NAGAR	ज्योतीबा फुले नगर
PADMINI	पद्मिनी
CHATRAPUR	छत्रपुर
DHUMR	धूम्र
CONAKRY	कोनार्की
PROMETHEUS	प्रोमिथेउस
MAJOR LEAGUE LACROSSE COACH OF THE YEAR AWARD	मेजर लीग लैक्रोस कोच ऑफ द ईयर अवार्ड
MISS MARY	मिस मेरी
FRANK FURT	फ़्रैंक फ़र्ट
BAHADUR	बहादुर
RAM BHAROSE	राम भरोसे
DO AADMI	दो आदमी
ALAKH NIRANJAN	अलख निरंजन
HAREE	हरी
DOOJ KA CHAND	दूज का चाँद
ANAPARTI	अनापर्ती
MHATRE	म्हात्रे
SHOME	शोम
AACHAARYNANDAN	आचार्यनंदन
ONA	ओना
ANA	एना
DECLAN	डिक्लैन
Calvine	कैल्विन
MARASI	मरासी
RUCHIRA PERERA	रुचीरा परेरा
OSWALD VEBLEN PRIZE IN GEOMETRY	ऑसवल्ड वेब्लेन प्राइज़ इन ज्योमेट्री
Mia	मिया
MCCANN	मैककेन
MAQSOOD RANA	मकसूद राणा
HANSTE ANSOO	हँसते आँसू
MAPUTO	मेपटो
MANU	मनु
KHIMSAR	खिमसार
COLES MYER	कोल्स मैर
CARLISLE	कार्लिसल
SAGGAI	सगाई
Majidah	माजिदह
AVTAAR	अवतार
RAMSWAROOP	रामस्वरूप
SAVU SEA	सावू सी
RITUPARAN	ऋतुपर्ण
NATHDWARA TEMPLE	नाथद्वारा टेम्पल
BHADRAVATI	भद्रावती
BALQEES	बल्कीस
HUM SUB USTAD HAIN	हम सब उस्ताद हैं
METLIFE	मेटलाइफ
BHOLA SHANKAR	भोला शंकर
DALMERA	डलमेरा
MITCH	मिच
DAVID JOSEPH	डेविड जोसफ
CHIDAKSH	चिदाक्ष
HIMATSINGKA SEI	हिमतसिंगका सी
DESWELL	डेस्वेल
RANDGOLD RESOURCES LIMITED	रैंडगोल्ड रिसोर्सेज़ लिमिटेड
JAJJ	जज्ज
FAAKHRUDDIN GANJSHAKAR	फकरूद्दीन गंजशाकर
YAACHISHNU	याचिष्णु
CARACAS	काराकस
THADDEUS	थड्डेअस
GULABPURA	गुलाबपुरा
Reynold	रेनॉल्ड
AMMIRAGLIO DI SAINT BON	अमीरैगलियो डी सेंट बॉन
MERA NASEEB	मेरा नसीब
FRANKFURT	फ़्रंकफ़र्ट
MANDSAUR	मन्दसौर
NAVEENA	नवीना
SALEM	सलेम
KRISHNA KANHAIYA	क़ृष्ण कन्हैया
DEVDHARKAR	देवधरकर
ANANYAA	अनन्या
MADAM ZAPATTA	मैडम ज़पाट्टा
BOTHA	बोथा
SOPHIA	सोफिया
ADELA	एडेला
HANG KHE RHY	हैंग की राई
ERNA	एर्ना
FORT CORNWALLIS	फोर्ट कार्नवॉलिस
GURUDWARA THANDA BURJ	गुरूद्वारा ठंडा बुर्ज
ECHO GERMAN MUSIC AWARD	इको जर्मन म्युज़िक अवार्ड
PROFESSOR AUR JADUGAR	प्रोफेसर और जादुगर
JERRELL	जेरेल
AMDEKAR	आमडेकर
RAJNIGANDHA	रजनीगंधा
INTERNET INITIATIVE JAPAN	इंटरनेट इनीशिएटिव जापान
LYNNA	लायना
SANJEEVA	संजीवा
MAGNESIUM	मैग्निशियम
KIRAN BEDI	किरण बेदी
INSANIYAT KE DUSHMAN	इंसानियत के दुश्मन
KERSHAW	कर्शो
CYBILL	सायबिल
SAAT SAMUNDER PAAR	सात समुंदर पार
ANNAPURNA	अन्नपूर्णा
PAISA YA PYAR	पैसा या प्यार
ZAKHAMI INSAAN	ज़ख्मी इंसान
DAIWA HOUSE INDUSTRY	डैवा हाउस इंडस्ट्री
PROTECTION OF NATURAL AMENITIES MEDAL	प्रोटैक्शन ऑफ नैचुरल अमेनिटीस मेडल
DVOYANKA	दवोयंका
DEEWANGEE	दीवानगी
BAYAN	बेयान
CITYGATE TOWER	सिटीगेट टॉवर
SARWATE	शोत्री
DAITYARI	दैत्यरि
SUBHADRA	सुभद्रा
WYOMING	योमिंग
TIM ROBINSON	टिम रॉबिंसन
JEEVAN YATRA	जीवन यात्रा
DOOSRI SHAADI	दूसरी शादी
POOJA	पूजा
MADELEINE	मैडेलीन
HEERON KA CHOR	हीरों का चोर
BHULA NA DENA	भुला न देना
ANJANA	अंजना
JIYAD	जियाद
SHAUKEEN	शौकीन
UNIVERSITY OF BRIGHTON	यूनिवर्सिटी ऑफ ब्राइटन
INDAL	इंडल
BALRAMPUR CHINI	बलरामपुर चीनी
MRANAALINEE	मृणालिनी
FORT FREDERICA	फोर्ट फ्रेडरिका
CHAAND	चान्द
JETTA	जेट्टा
TABALAH	तबालाह
DETECTIVE	डिटेक्टिव
HASMUKH	हसमुख
ANDY FLOWER	एण्डी फ्लार
LEELAARAAM	लीलाराम
HIMALAY KI GOD MEIN	हिमालय की गोद में
NORMA	नोर्मा
DEUTSCHLAND	डेटस्कलैंड
SONIPAT	सोनीपत
TEKLA	टेक्ला
Ashwinee	अश्विनी
HARDANGER FIDDLE	हैरडेंजर फिडल
TEESRA KINARA	तीसरा किनारा
ADITYA VIKRAM BIRLA GROUP	आदित्य विक्रम बिड़ला ग्रुप
TASSOS	टैसस
BAL YOGI	बाल योगी
BEGUSARAI	बेगूसराय
GAINELL	गैनेल
MAJOR LEAGUE LACROSSE OFFENSIVE PLAYER OF THE YEAR AWARD	मेजर लीग लैक्रोस ओफेंसिव प्लेयर ऑफ द ईयर अवार्ड
ATHAR LAEEQ	अथार लईक
POINTER TELOCATION	पॉइंटर टेलोकेशन
ABDUR RAUF	अब्दुर रौफ
KRISTY	क्रिस्टी
WHEELCHAIR BASKETBALL	व्हीलचेयर बास्केटबॉल
GHARODA	घरोड़ा
KAMRAN	कामरान
DOST GARIBON KA	दोस्त गरीबों का
COLOR	कलर
ACHHUT	अछूत
Mac	मैक
CHITRAREKHA	चित्ररेखा
ROBIN UTHAPPA	रॉबिन उथाप्पा
BAJARANGABALEE	बजरंगबली
Bikaner	बीकानेर
AMY	एमी
MONIRUZZAMAN	मोनीरुज़्ज़ामन
RAFIQUL ISLAM	रफीकल इस्लाम
MIRZA	मिर्ज़ा
GREEN	ग्रीन
NAQLI BAAP	नकली बाप
DAINIK BHASKAR	दैन‍िक भास्कर
PYAR KA BANDHAN	प्यार का बंधन
EK TERI NISHANI	एक तेरी निशानी
MERLE	मेर्ले
ONEGA	उनेगा
Sahota	साहोटा
HARISHCHANDRA	हरीशचंद्र
BADLA AUR BALIDAN	बदला और बलिदान
RATTU	रत्तु
GIBSON	गिब्सन
Dirhams	दिरहैम्स
KARTAVYA	कर्तव्य
ALOK INDUSTRIES	आलोक इंडस्ट्रीज़
LENIN PEACE PRIZE	लेनिन पीस प्राइज़
QAYAMAT SE QAYAMAT TAK	क़यामत से क़यामत तक
PURANDAR	पुरंदर
Antara	अंतरा
MARK HIGGS	मार्क हिग्स
ALAN WELLS	ऐलन वेल्स
SWING	स्विंग
HEERA PANNA	हीरा पन्ना
RANKS	रैंक्स
KEERATPUR	कीरतपुर
VARTHAMANAM	वर्तमानम
FOUR CONTINENTS FIGURE SKATING CHAMPIONS	फोर कॉनटिनेंट्‍स फिगर स्केटिंग चैंपियन्स
PANCHAYAT	पंचायत
BILTSTRAAT	बिल्टस्ट्राट
JANELLE	जैनेल
SARABDEV	सरबदेव
GALLANTS BOWER	गैलंट्‍स बॉवर
AALINGAN	आलिंगन
ELAINE	एलेना
INSAAF KI PUKAR	इंसाफ की पुकार
ARISHTANEMI	अरिष्टनेमि
ATALO	एटलो
WORLDWIDE	वर्ल्डवाइड
PARINDA	परिंदा
WAR CROSS WITH SWORD	वार क्रास विद स्वॉर्ड
STEVE WONDER	स्टीव वॉन्डर
CERAGON NETWORKS	सेरागॉन नेटवर्क्स
NOORJEHAN	नूरजहाँ
SLONE	स्लोन
SOORMA BHOPALI	सूरमा भोपाली
JAGADIP	जगदिप
ALAN DAWSON	ऐलन डॉसन
BALVAN	बलवान
ARUN	अरुण
ACTINIUM	एक्टीनियम
YAMASHIRO	यमाशिरो
EZRA MOSELEY	एज़्रा मोसेले
BUZDIL	बुज़दिल
Jamilah	जमीलाह
Jaleel	जलील
GANSEVOORT	गेन्सवूर्ट
NAZMUL HOSSAIN	नज़्मुल हुसैन
MOZAMBIK	मोज़ाम्बिक
JAGANMAY	जगन्मय
YVES	वेस
Fatih	फतिह
PATTY	पैटी
EDITH	एडिथ
ANTRIWALE	अंत्रीवाले
Kyzyl-kum	काईज़ल-कुम
ANSAR	अंसार
ANGIE	एंजी
ABDUL GAFFAAR	अब्दुल गफ्फार
RAAHUL	राहुल
AAMNE SAMNE	आमने सामने
NIVRITTI	निवृत्ति
NARENDRA HIRWANI	नरेंद्र हिरवानी
MOUNT OLYMPUS	माउंट ओलिंपस
VANSHAVARDHAN	वंशवर्धन
SHABANAM	शबनम
IN'AM	इनआम
ROBBIE KERR	रॉबी केर
WAR OF THE SECOND COALITION	वार ऑफ द सेकंड कॉलिशन
BANTHRA	बंथरा
Wycliff	वायक्लिफ
SOMADEV	सोमदेव
Layar	लायर
DUDHWAKHARA	दुधवाखरा
LIBERTY SHOES	लिबर्टी शूज़
Vinci	विंसी
SAJJAD AKBAR	सज्जाद अकबर
SUN MICROSYSTEMS	सन माइक्रोसिस्टम
DURDANAH	दर्दनाह
CHIRANJEEVI	चिरंजीवी
AGNIKAAL	अग्निकाल
Baweja	बवेजा
ADITYAPUR	आदित्यपुर
BHITAURA	भिटौरा
JANSATTA	जनसत्ता
KORAPUT	कोरापुट
TYAGARAJAR	त्यागराजार
MITESH	मितेश
FORD MOTOR	फ़ोर्ड मोटर
DHOLAK	ढोलक
MERI AWAAZ SUNO	मेरी आवाज़ सुनो
DAVID BRAIN	डेविड ब्रेन
CHIKODI ROAD	चिकोड़ी रोड
NATIONAL PUBLIC SCHOOL	नेशनल पब्लिक स्कूल
TRISHA	तृशा
EVERLY	एवरली
ANGARIKA	अंगारिका
WEST SARGUJA	वेस्ट सरगुजा
KRISALYN	क्रिसलिन
Patki	पत्कि
AMEERI GAREEBI	अमीरी गरीबी
INDOMPTABLE	इंडोम्टेबल
FLEX INDUSTRIES	फ़्लेक्स इंडस्ट्रीज़
KAHIN AUR CHAL	कहीं और चल
K SERA SERA	के सेरा सेरा
SWAMI DADA	स्वामी दादा
SAAZ	साज़
DOUG	डूग
GAURIYAMAU	गौरियामाउ
ORCHARDS COMMUNITY	ऑर्चर्ड्स कम्युनिटी
QATIL	कातिल
LOKMAT	लोकमत
HIRA	हीरा
NAAZ	नाज़
